Model,Horizon,RMSE,MAE,R2
RandomForest,30 Minutes,1.2499275572411745,1.0038056907332673,0.6262229542348088
RandomForest,6 Hours,1.4523152728552382,1.2034630842098486,0.4955195408913361
RandomForest,12 Hours,1.5616299126975322,1.3174443001896698,0.41650323243017984
LightGBM,30 Minutes,1.239862216558925,0.971933074657917,0.6322185742246302
LightGBM,6 Hours,1.4277584895909932,1.1461944738584267,0.5124355389860518
LightGBM,12 Hours,1.5349526951431114,1.26197607838098,0.4362686237384311
XGBoost,30 Minutes,1.243056759502004,0.9787591000210353,0.630320932507352
XGBoost,6 Hours,1.4304614970290908,1.1476635726614264,0.5105876944411918
XGBoost,12 Hours,1.5406678115925103,1.2657763627754473,0.43206290672010206
LSTM,30 Minutes,1.671053285704831,1.4076199636512403,0.3319275874263966
LSTM,6 Hours,1.7727560206834245,1.5041357552704153,0.24834166501281363
LSTM,12 Hours,1.8072818604594902,1.5476141587956609,0.21849097924935645
GRU,30 Minutes,1.6557548668214546,1.4112715240472693,0.3441039408771138
GRU,6 Hours,1.7699574760077765,1.5305291846240032,0.25071298857055646
GRU,12 Hours,1.8290620964728517,1.6101395958932145,0.19954095572643304
Ensemble,30 Minutes,1.2374685513407409,0.9578861381952163,0.6336372734993537
Ensemble,6 Hours,1.4238467271454414,1.1459567479675228,0.5151035303109819
Ensemble,12 Hours,1.528015131235409,1.255176173816617,0.44135292935274906
