,0
hour,479.0
ElectronMean_8,235.0
IntegralMean,150.0
day,144.0
month,137.0
IntegralMean_mean1h,137.0
proton_density,135.0
ElectronMean_9_mean1h_lag144,122.0
year,118.0
BZ_GSE,112.0
IntegralMean_mean1h_lag144,104.0
BZ_GSE_mean1h,90.0
IMF_Magnitude,85.0
flow_speed,84.0
IntegralStd,78.0
flow_speed_lag144,78.0
ElectronMean_9_mean1h,76.0
ElectronMean_7_std1h,73.0
flow_speed_lag72,73.0
flow_speed_lag6,72.0
ElectronMean_9_mean1h_lag72,72.0
BX_GSE_mean1h_lag144,72.0
proton_density_lag6,71.0
BY_GSE_mean1h_lag144,68.0
IntegralStd_mean1h_lag144,67.0
BY_GSE_mean1h_lag72,66.0
ElectronMean_8_mean1h_lag144,66.0
ElectronMean_9_mean1h_lag36,65.0
Dynamic_Pressure,64.0
ElectronStd_9_mean1h_lag144,64.0
ElectronMax_9_mean1h_lag144,63.0
ElectronMean_8_std1h,63.0
proton_density_lag12,63.0
ElectronMean_8_mean1h,62.0
ElectronMean_9,62.0
Dynamic_Pressure_lag144,61.0
ElectronStd_9,61.0
IntegralStd_std1h,59.0
flow_speed_lag12,57.0
ElectronMax_8,57.0
ElectronMean_9_mean1h_lag12,56.0
ElectronMax_9_mean1h,56.0
IntegralMean_lag6,55.0
ElectronMax_9_lag6,55.0
IntegralMean_mean1h_lag12,55.0
ElectronStd_9_mean1h,54.0
ElectronStd_9_std1h_lag144,53.0
IntegralMean_mean1h_lag36,53.0
proton_density_lag144,53.0
BX_GSE_mean1h_lag72,53.0
BY_GSE_mean1h,53.0
proton_density_lag36,53.0
ElectronStd_9_std1h,52.0
IntegralMean_lag12,52.0
IntegralStd_std1h_lag36,52.0
ElectronMax_9_lag36,52.0
IntegralStd_mean1h,52.0
IntegralStd_mean1h_lag72,52.0
ElectronMax_9_mean1h_lag72,52.0
ProtonMean_0_std1h_lag72,52.0
ElectronMean_8_std1h_lag144,51.0
BY_GSE,51.0
ElectronStd_0_std1h_lag144,51.0
BX_GSE_lag72,51.0
ElectronStd_9_lag6,51.0
IntegralStd_std1h_lag6,50.0
ElectronStd_8,50.0
ElectronMax_9_lag72,50.0
flow_speed_lag36,50.0
IntegralStd_lag12,50.0
IntegralMean_mean1h_lag72,49.0
ElectronStd_9_lag72,49.0
flow_speed_mean1h_lag144,49.0
ElectronStd_9_mean1h_lag36,49.0
BZ_GSE_mean1h_lag144,48.0
IntegralStd_mean1h_lag36,48.0
ElectronStd_9_lag144,48.0
proton_density_lag72,48.0
Dynamic_Pressure_lag6,48.0
IMF_Magnitude_mean1h_lag144,48.0
ElectronMax_9,48.0
ElectronMax_9_mean1h_lag36,48.0
ElectronMean_9_lag72,47.0
IMF_Magnitude_mean1h_lag36,47.0
ElectronMean_7,47.0
BZ_GSE_mean1h_lag12,47.0
ElectronMean_9_lag6,47.0
IMF_Magnitude_lag6,47.0
BX_GSE_mean1h_lag12,47.0
ElectronMean_9_std1h_lag36,46.0
IntegralMean_lag36,46.0
ElectronMean_9_std1h,46.0
ElectronMax_8_std1h_lag12,46.0
Dynamic_Pressure_lag72,45.0
ElectronMean_9_lag36,45.0
ElectronStd_9_lag12,45.0
ElectronMax_9_mean1h_lag12,45.0
ProtonStd_0,45.0
ElectronMax_9_std1h_lag144,44.0
ElectronMean_9_std1h_lag12,44.0
ElectronMean_8_mean1h_lag72,44.0
IntegralMean_std1h_lag72,44.0
IntegralStd_lag6,44.0
ElectronMax_8_std1h_lag36,44.0
ElectronStd_9_mean1h_lag72,43.0
ElectronMax_9_std1h_lag12,43.0
IntegralStd_lag144,43.0
ElectronMean_8_lag6,43.0
ElectronMax_8_lag144,43.0
ElectronMean_7_std1h_lag12,43.0
dayofweek,42.0
ElectronMean_9_std1h_lag6,42.0
IntegralMean_lag144,42.0
ElectronStd_7_lag6,42.0
ElectronMax_8_std1h_lag144,42.0
ElectronMax_9_lag12,41.0
ElectronMean_0_std1h_lag144,41.0
IMF_Magnitude_mean1h,41.0
BX_GSE_lag6,41.0
IMF_Magnitude_mean1h_lag12,41.0
ElectronMean_8_std1h_lag36,41.0
ProtonMean_0,41.0
ElectronMean_9_lag12,41.0
