Feature,Importance
ElectronMean_8,1.4076884313420768
IntegralMean_mean1h,0.3412242455003548
IntegralMean,0.2036342064876362
hour,0.11369080166227803
year,0.0685869596353457
IntegralStd_mean1h,0.04780358571317739
IntegralStd,0.03943134303128518
IntegralMean_mean1h_lag12,0.036768378999825345
ProtonStd_0,0.03144951176236763
ElectronStd_7_lag6,0.030426055726689508
ElectronMax_8,0.021074946352836642
ElectronMean_7,0.019435879179142992
IntegralMean_mean1h_lag36,0.017190904774656998
IntegralStd_mean1h_lag36,0.016900227129323986
ElectronStd_7_mean1h_lag36,0.014945775546343245
ElectronMean_8_mean1h,0.014469064422278237
ProtonMean_0,0.013949291263893805
BZ_GSE,0.012207607456213814
ElectronStd_9,0.011602106034498913
ElectronMax_9_mean1h_lag72,0.011375158137937005
ElectronStd_9_mean1h,0.010417820672861277
ElectronMax_9_mean1h_lag12,0.010339715163555183
ElectronStd_7_mean1h_lag144,0.009742738780212694
ElectronMean_8_std1h_lag12,0.00956867395459077
BZ_GSE_mean1h_lag12,0.00953524165052686
ElectronMax_8_mean1h,0.00940333794234404
IntegralStd_std1h,0.009039328568260696
IntegralMean_lag12,0.008970167773029397
ElectronMean_8_std1h,0.008890278625391308
IntegralStd_mean1h_lag12,0.008853749385953333
ElectronMax_9_mean1h,0.008622100282185201
ElectronMean_9_mean1h_lag144,0.008467456904608525
ElectronMean_8_lag36,0.007776656551861394
ElectronMean_7_std1h,0.007543439240107438
ProtonMean_0_std1h_lag6,0.007044203033914028
Dynamic_Pressure,0.006816566114910269
IMF_Magnitude_std1h_lag6,0.006408783419612029
ElectronMean_1_std1h,0.006316577439163194
ElectronMean_9_mean1h,0.006259645252342939
ElectronStd_8,0.006194217086267714
ElectronStd_8_mean1h_lag12,0.006108934536802114
ElectronStd_9_mean1h_lag72,0.005937591473029585
BZ_GSE_mean1h,0.0058388072779382355
ElectronMean_7_std1h_lag12,0.0055911662673865745
ElectronMean_7_std1h_lag36,0.005579135545222514
proton_density_lag36,0.005447134688175222
month,0.00542360990307094
Dynamic_Pressure_lag6,0.005104867333895836
ElectronStd_9_mean1h_lag144,0.004758429359238033
proton_density,0.004753766165766661
BZ_GSE_std1h_lag36,0.004716242217391542
day,0.0046604663941330945
ElectronStd_0_std1h,0.004445309288720476
proton_density_lag12,0.0044386965058357975
ElectronStd_9_mean1h_lag12,0.004381805955959175
ElectronMean_9_mean1h_lag6,0.004354151780706011
BZ_GSE_mean1h_lag36,0.0042087634712715
ElectronMax_8_std1h_lag36,0.004183758336019345
ElectronMax_9_std1h_lag6,0.00413410047206179
ProtonMean_0_std1h_lag144,0.004041263686765078
ElectronStd_9_std1h_lag72,0.003977724958186379
ElectronMax_8_std1h_lag144,0.003961363714637015
flow_speed_lag144,0.003926060338355974
ElectronMax_8_std1h,0.003804107719658089
IntegralStd_mean1h_lag72,0.0037690681599236095
