Feature,Importance
ElectronMean_8,0.33574075
IntegralMean_mean1h,0.24375142
IntegralMean,0.054205768
ElectronMax_8,0.014347267
ElectronMean_8_mean1h,0.012924549
year,0.009196225
ElectronMax_9_mean1h,0.007586054
IntegralMean_mean1h_lag6,0.0060072667
IntegralStd_mean1h,0.005718135
ElectronMax_8_mean1h,0.0038880536
IntegralMean_mean1h_lag12,0.003722913
ElectronMean_9,0.0033066894
hour,0.0032248525
ElectronMean_8_std1h,0.0030598436
ProtonStd_0,0.0028932416
ElectronMean_7,0.0027156146
ElectronStd_7_lag6,0.00251236
ElectronMean_9_mean1h,0.0023688585
ElectronMean_8_mean1h_lag144,0.0023213883
ElectronStd_7_mean1h_lag144,0.0022991356
ElectronStd_8_mean1h_lag12,0.0022698822
IntegralMean_mean1h_lag36,0.002150535
IntegralStd_mean1h_lag36,0.0021347576
ElectronMean_7_std1h_lag12,0.0020356157
ProtonMean_0,0.0019894326
ElectronMean_8_lag36,0.0019336004
IntegralStd_mean1h_lag12,0.0019325673
ElectronMax_9_mean1h_lag12,0.001921377
ElectronStd_7_mean1h_lag36,0.0018586519
ProtonMean_0_std1h_lag144,0.0018466574
ElectronStd_0_std1h,0.0018322889
ElectronStd_9_mean1h_lag72,0.0018234961
ElectronMean_8_std1h_lag36,0.0018211866
ElectronStd_9_mean1h,0.0018131791
ElectronMax_8_std1h,0.0018130032
ElectronMean_7_std1h_lag6,0.001789699
ElectronMax_9_mean1h_lag6,0.0017865805
VBz,0.0017834633
BZ_GSE_mean1h_lag12,0.0017823116
ElectronMean_2_mean1h_lag144,0.001778521
ElectronStd_9,0.0017783593
ElectronMean_8_mean1h_lag72,0.0017548183
Dynamic_Pressure_lag6,0.0017437292
Dynamic_Pressure_mean1h_lag144,0.0017366636
IntegralStd,0.001736356
ElectronMean_6_std1h,0.0017271771
ElectronMean_7_std1h_lag36,0.001717726
IntegralMean_mean1h_lag72,0.001699832
ElectronStd_9_mean1h_lag36,0.0016971787
IMF_Magnitude_lag6,0.0016946952
ElectronMax_8_mean1h_lag144,0.0016939434
ElectronStd_9_std1h_lag72,0.001690839
ElectronMax_9_mean1h_lag36,0.0016841138
IntegralMean_std1h_lag72,0.0016730791
ElectronStd_9_mean1h_lag12,0.0016689593
ElectronMean_9_mean1h_lag6,0.0016681274
ElectronMean_8_std1h_lag6,0.0016628922
ProtonMean_7_mean1h_lag144,0.0016550118
ElectronMean_8_std1h_lag12,0.0016545351
proton_density_lag12,0.0016536695
month,0.001647969
ElectronStd_1_lag144,0.0016437039
IMF_Magnitude_mean1h_lag12,0.0016394071
ElectronStd_9_mean1h_lag144,0.00163423
flow_speed_mean1h_lag144,0.0016289904
ElectronMean_1_std1h,0.0016217623
Dynamic_Pressure,0.0016138954
ElectronMean_8_lag6,0.001612612
ProtonMean_6_mean1h_lag144,0.0016109555
ElectronMean_8_std1h_lag144,0.0016077042
IMF_Magnitude_mean1h_lag144,0.0016067012
VBz_mean1h_lag72,0.0016051579
ElectronStd_8_lag36,0.001602739
ElectronMax_8_std1h_lag12,0.001601061
proton_density_lag36,0.0015995483
IntegralStd_mean1h_lag72,0.0015991317
proton_density_lag72,0.0015979056
proton_density_lag6,0.0015947535
IntegralStd_std1h_lag72,0.0015946074
BX_GSE_mean1h,0.0015943362
ElectronMean_1_std1h_lag144,0.00159381
ElectronMax_8_std1h_lag36,0.0015891845
IMF_Magnitude_lag36,0.0015883854
ElectronMax_8_std1h_lag144,0.0015854276
IntegralStd_mean1h_lag144,0.0015834278
ElectronStd_8_std1h_lag144,0.0015828243
IMF_Magnitude_std1h_lag6,0.001581805
BZ_GSE_std1h_lag72,0.001581035
IntegralStd_std1h_lag36,0.0015765043
IMF_Magnitude_std1h,0.0015722666
IntegralMean_std1h_lag12,0.0015718966
IMF_Magnitude_std1h_lag36,0.0015717155
ProtonMean_0_std1h_lag6,0.0015701165
ElectronMean_9_std1h_lag72,0.0015687163
ElectronMean_7_std1h,0.0015654166
proton_density_mean1h_lag144,0.0015612757
dayofweek,0.001560366
ElectronMean_9_mean1h_lag12,0.0015601204
ElectronMean_9_std1h_lag6,0.0015582832
BZ_GSE_mean1h_lag36,0.0015568628
Dynamic_Pressure_lag72,0.0015544501
ElectronMean_8_lag144,0.0015515733
BY_GSE_lag72,0.0015481532
BZ_GSE_mean1h_lag6,0.0015435239
BZ_GSE_mean1h_lag72,0.0015363798
ElectronMax_9_mean1h_lag144,0.0015357265
ElectronMax_9_std1h_lag144,0.001533863
IMF_Magnitude_lag12,0.0015335075
ElectronMax_9_mean1h_lag72,0.001520924
BX_GSE_lag144,0.001519703
ElectronMean_9_mean1h_lag72,0.0015187403
ElectronMean_9_std1h,0.0015181312
ElectronStd_8,0.0015179933
ElectronStd_9_std1h_lag12,0.0015177646
IntegralMean_std1h_lag144,0.0015170067
ElectronStd_8_lag6,0.0015164671
flow_speed_std1h_lag12,0.0015137662
BY_GSE_std1h_lag12,0.0015129476
BY_GSE_lag144,0.0015106634
ElectronMax_9_std1h,0.0015086542
flow_speed_std1h,0.0015081996
BZ_GSE_std1h_lag36,0.001507878
ElectronMean_9_std1h_lag144,0.0015053098
flow_speed_lag144,0.0015031581
ElectronMean_9_mean1h_lag36,0.0015018154
ElectronMax_9_std1h_lag12,0.0015013322
BX_GSE_lag6,0.0014989261
BZ_GSE_lag144,0.0014959483
proton_density_lag144,0.001494382
IMF_Magnitude_lag144,0.0014939248
IntegralStd_std1h_lag144,0.0014896056
BY_GSE_mean1h_lag36,0.0014878828
IMF_Magnitude_mean1h,0.0014863495
BX_GSE_std1h_lag144,0.0014835118
ElectronMax_8_lag144,0.001479557
BX_GSE_std1h_lag72,0.0014795372
IntegralMean_lag144,0.0014782614
flow_speed_lag36,0.0014770529
IntegralMean_lag12,0.0014766501
IMF_Magnitude_mean1h_lag72,0.0014714408
BX_GSE_std1h_lag6,0.0014699637
BX_GSE_mean1h_lag12,0.0014690107
ElectronMean_9_std1h_lag36,0.0014674255
ElectronStd_0_std1h_lag144,0.001464681
ElectronStd_9_std1h_lag36,0.0014646377
IntegralStd_std1h_lag6,0.0014641341
ProtonMean_0_std1h_lag72,0.0014639751
ElectronMean_0_std1h_lag144,0.0014635446
ElectronMean_9_std1h_lag12,0.0014614196
flow_speed_lag12,0.0014599379
flow_speed_std1h_lag72,0.0014595463
BY_GSE_mean1h_lag12,0.0014557124
IMF_Magnitude_lag72,0.0014532678
BX_GSE_mean1h_lag36,0.0014530147
ElectronStd_9_std1h_lag6,0.0014513506
IntegralStd_lag144,0.00144962
ElectronMax_9_std1h_lag6,0.0014441133
ElectronStd_9_std1h_lag144,0.0014439587
IMF_Magnitude_mean1h_lag36,0.0014396243
IntegralMean_lag36,0.0014361732
BX_GSE_mean1h_lag72,0.0014335051
IntegralStd_std1h_lag12,0.0014291726
BZ_GSE_mean1h_lag144,0.0014151126
IntegralStd_std1h,0.001414116
ElectronMax_9,0.0014119878
ElectronMean_9_lag6,0.0014073696
ElectronStd_9_std1h,0.0014068313
BY_GSE,0.0014044401
BX_GSE_lag72,0.0013995289
BZ_GSE,0.0013966706
flow_speed_lag72,0.0013948145
ElectronStd_9_lag72,0.0013908303
Dynamic_Pressure_lag144,0.0013831824
IntegralStd_lag72,0.0013792255
BZ_GSE_mean1h,0.0013782828
ElectronMean_9_lag36,0.0013724035
ElectronMean_9_lag72,0.0013696299
ElectronMax_9_lag72,0.001366735
ElectronMean_9_lag12,0.0013639703
